Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
TMEM188,old symbol,MGI:1921981,Cnep1r1,CTD nuclear envelope phosphatase 1 regulatory subunit 1,protein coding gene
CNGA1,current symbol,MGI:88436,Cnga1,cyclic nucleotide gated channel alpha 1,protein coding gene
CNGA3,current symbol,MGI:1341818,Cnga3,cyclic nucleotide gated channel alpha 3,protein coding gene
CNGA4,current symbol,MGI:2664099,Cnga4,cyclic nucleotide gated channel alpha 4,protein coding gene
CNGB3,current symbol,MGI:1353562,Cngb3,cyclic nucleotide gated channel beta 3,protein coding gene
CNIH,old symbol,MGI:1277202,Cnih1,cornichon family AMPA receptor auxiliary protein 1,protein coding gene
CNIH2,current symbol,MGI:1277225,Cnih2,cornichon family AMPA receptor auxiliary protein 2,protein coding gene
CNIH3,current symbol,MGI:1920228,Cnih3,cornichon family AMPA receptor auxiliary protein 3,protein coding gene
CNIH4,current symbol,MGI:1925828,Cnih4,cornichon family AMPA receptor auxiliary protein 4,protein coding gene
LECT1,old symbol,MGI:1341171,Cnmd,chondromodulin,protein coding gene
CNNM2,current symbol,MGI:2151054,Cnnm2,cyclin M2,protein coding gene
CNNM2,"frog, western clawed symbol",MGI:2151060,Cnnm4,cyclin M4,protein coding gene
CNOT1,current symbol,MGI:2442402,Cnot1,"CCR4-NOT transcription complex, subunit 1",protein coding gene
CCR4,human synonym,MGI:2144529,Cnot6,"CCR4-NOT transcription complex, subunit 6",protein coding gene
CNR1,current symbol,MGI:104615,Cnr1,cannabinoid receptor 1 (brain),protein coding gene
CNR2,current symbol,MGI:104650,Cnr2,cannabinoid receptor 2 (macrophage),protein coding gene
C1orf71,human synonym,MGI:2445141,Cnst,"consortin, connexin sorting protein",protein coding gene
F3,human synonym,MGI:105980,Cntn1,contactin 1,protein coding gene
CNTNAP1,current symbol,MGI:1858201,Cntnap1,contactin associated protein-like 1,protein coding gene
CNTNAP2,current symbol,MGI:1914047,Cntnap2,contactin associated protein-like 2,protein coding gene
CNTNAP3,current symbol,MGI:3588199,Cntnap3,contactin associated protein-like 3,protein coding gene
CNTNAP3,zebrafish symbol,MGI:2183572,Cntnap4,contactin associated protein-like 4,protein coding gene
CNTNAP5,human symbol,MGI:3643623,Cntnap5a,contactin associated protein-like 5A,protein coding gene
CNTNAP5,rat synonym,MGI:3646013,Cntnap5c,contactin associated protein-like 5C,protein coding gene
CCDC56,old symbol,MGI:1098757,Coa3,cytochrome C oxidase assembly factor 3,protein coding gene
COL17A1,current symbol,MGI:88450,Col17a1,"collagen, type XVII, alpha 1",protein coding gene
COL25A1,current symbol,MGI:1924268,Col25a1,"collagen, type XXV, alpha 1",protein coding gene
COLEC12,current symbol,MGI:2152907,Colec12,collectin sub-family member 12,protein coding gene
COQ2,current symbol,MGI:1919133,Coq2,coenzyme Q2 4-hydroxybenzoate polyprenyltransferase,protein coding gene
CORIN,current symbol,MGI:1349451,Corin,corin,protein coding gene
COX8C,current symbol,MGI:1922733,Cox8c,cytochrome c oxidase subunit VIIIc,protein coding gene
CPD,current symbol,MGI:107265,Cpd,carboxypeptidase D,protein coding gene
FAT,old symbol,MGI:101932,Cpe,carboxypeptidase E,protein coding gene
CR1,rat synonym,MGI:88513,Cr1l,complement component (3b/4b) receptor 1-like,protein coding gene
CR1,old symbol,MGI:88489,Cr2,complement receptor 2,protein coding gene
CRB1,current symbol,MGI:2136343,Crb1,"crumbs family member 1, photoreceptor morphogenesis associated",protein coding gene
CRB2,current symbol,MGI:2679260,Crb2,crumbs family member 2,protein coding gene
CRB3,current symbol,MGI:2670904,Crb3,crumbs family member 3,protein coding gene
CRELD1,current symbol,MGI:2152539,Creld1,cysteine-rich with EGF-like domains 1,protein coding gene
CRHR1,current symbol,MGI:88498,Crhr1,corticotropin releasing hormone receptor 1,protein coding gene
CRHR2,current symbol,MGI:894312,Crhr2,corticotropin releasing hormone receptor 2,protein coding gene
CRIM1,current symbol,MGI:1354756,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),protein coding gene
CRLF2,current symbol,MGI:1889506,Crlf2,cytokine receptor-like factor 2,protein coding gene
CRLS1,current symbol,MGI:1913836,Crls1,cardiolipin synthase 1,protein coding gene
CRTAM,current symbol,MGI:1859822,Crtam,cytotoxic and regulatory T cell molecule,protein coding gene
CSF1,current symbol,MGI:1339753,Csf1,colony stimulating factor 1 (macrophage),protein coding gene
CSF1R,current symbol,MGI:1339758,Csf1r,colony stimulating factor 1 receptor,protein coding gene
CSF2RA,current symbol,MGI:1339754,Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",protein coding gene
CSF2RB,current symbol,MGI:1339759,Csf2rb,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",protein coding gene
CSF2RB,human symbol,MGI:1339760,Csf2rb2,"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)",protein coding gene
CSF3R,current symbol,MGI:1339755,Csf3r,colony stimulating factor 3 receptor (granulocyte),protein coding gene
CSMD1,current symbol,MGI:2137383,Csmd1,CUB and Sushi multiple domains 1,protein coding gene
CSMD2,current symbol,MGI:2386401,Csmd2,CUB and Sushi multiple domains 2,protein coding gene
CSMD3,current symbol,MGI:2386403,Csmd3,CUB and Sushi multiple domains 3,protein coding gene
CSPG4,current symbol,MGI:2153093,Cspg4,chondroitin sulfate proteoglycan 4,protein coding gene
CSPG5,current symbol,MGI:1352747,Cspg5,chondroitin sulfate proteoglycan 5,protein coding gene
CTLA4,current symbol,MGI:88556,Ctla4,cytotoxic T-lymphocyte-associated protein 4,protein coding gene
CTXN3,current symbol,MGI:3642816,Ctxn3,cortexin 3,protein coding gene
CUZD1,current symbol,MGI:1202881,Cuzd1,CUB and zona pellucida-like domains 1,protein coding gene
CX3CL1,current symbol,MGI:1097153,Cx3cl1,chemokine (C-X3-C motif) ligand 1,protein coding gene
CCRL1,human synonym,MGI:1333815,Cx3cr1,chemokine (C-X3-C motif) receptor 1,protein coding gene
CXADR,current symbol,MGI:1201679,Cxadr,coxsackie virus and adenovirus receptor,protein coding gene
CXCL16,current symbol,MGI:1932682,Cxcl16,chemokine (C-X-C motif) ligand 16,protein coding gene
IL8RA,old symbol,MGI:2448715,Cxcr1,chemokine (C-X-C motif) receptor 1,protein coding gene
IL8RA,synonym,MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,protein coding gene
CXCR3,current symbol,MGI:1277207,Cxcr3,chemokine (C-X-C motif) receptor 3,protein coding gene
CXCR4,current symbol,MGI:109563,Cxcr4,chemokine (C-X-C motif) receptor 4,protein coding gene
CXCR5,current symbol,MGI:103567,Cxcr5,chemokine (C-X-C motif) receptor 5,protein coding gene
CXCR6,current symbol,MGI:1934582,Cxcr6,chemokine (C-X-C motif) receptor 6,protein coding gene
CYB561,current symbol,MGI:103253,Cyb561,cytochrome b-561,protein coding gene
CYBASC3,old symbol,MGI:2686925,Cyb561a3,"cytochrome b561 family, member A3",protein coding gene
CYB561D1,current symbol,MGI:1919273,Cyb561d1,cytochrome b-561 domain containing 1,protein coding gene
CYB561D2,current symbol,MGI:1929280,Cyb561d2,cytochrome b-561 domain containing 2,protein coding gene
CYBRD1,current symbol,MGI:2654575,Cybrd1,cytochrome b reductase 1,protein coding gene
CYHR1,current symbol,MGI:1859320,Cyhr1,cysteine and histidine rich 1,protein coding gene
CYP2U1,current symbol,MGI:1918769,Cyp2u1,"cytochrome P450, family 2, subfamily u, polypeptide 1",protein coding gene
CYP51A1,rat synonym,MGI:106040,Cyp51,"cytochrome P450, family 51",protein coding gene
CYSLTR1,current symbol,MGI:1926218,Cysltr1,cysteinyl leukotriene receptor 1,protein coding gene
CYSLTR2,current symbol,MGI:1917336,Cysltr2,cysteinyl leukotriene receptor 2,protein coding gene
CYYR1,current symbol,MGI:2152187,Cyyr1,cysteine and tyrosine-rich protein 1,protein coding gene
ST7,synonym,MGI:106776,D11Bhm50,"DNA segment, Chr 11, Boehm 50",DNA segment
C17orf80,human symbol,MGI:106356,D11Wsu47e,"DNA segment, Chr 11, Wayne State University 47, expressed",protein coding gene
KIAA0319,human symbol,MGI:3036268,D130043K22Rik,RIKEN cDNA D130043K22 gene,protein coding gene
DAD1,current symbol,MGI:101912,Dad1,defender against cell death 1,protein coding gene
DAG1,current symbol,MGI:101864,Dag1,dystroglycan 1,protein coding gene
DAGLA,current symbol,MGI:2677061,Dagla,"diacylglycerol lipase, alpha",protein coding gene
DCAKD,current symbol,MGI:1915337,Dcakd,dephospho-CoA kinase domain containing,protein coding gene
DCBLD1,current symbol,MGI:1913936,Dcbld1,"discoidin, CUB  and LCCL domain containing 1",protein coding gene
DCBLD2,current symbol,MGI:1920629,Dcbld2,"discoidin, CUB and LCCL domain containing 2",protein coding gene
DCC,current symbol,MGI:94869,Dcc,deleted in colorectal carcinoma,protein coding gene
CDH19,human synonym,MGI:2685011,Dchs1,dachsous 1 (Drosophila),protein coding gene
DCHS2,current symbol,MGI:2685263,Dchs2,dachsous 2 (Drosophila),protein coding gene
DCST2,current symbol,MGI:2685606,Dcst2,DC-STAMP domain containing 2,protein coding gene
TM7SF4,old symbol,MGI:1923016,Dcstamp,dendrocyte expressed seven transmembrane protein,protein coding gene
DCT,current symbol,MGI:102563,Dct,dopachrome tautomerase,protein coding gene
WBP1,human synonym,MGI:1194508,Ddost,dolichyl-di-phosphooligosaccharide-protein glycotransferase,protein coding gene
DDR1,current symbol,MGI:99216,Ddr1,"discoidin domain receptor family, member 1",protein coding gene
DDR2,current symbol,MGI:1345277,Ddr2,"discoidin domain receptor family, member 2",protein coding gene
CHL1,synonym,MGI:2443590,Ddx11,DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11,protein coding gene
SPN,human synonym,MGI:1858496,Deaf1,deformed epidermal autoregulatory factor 1 (Drosophila),protein coding gene
CR2,synonym,MGI:94882,Defa2,"defensin, alpha, 2",protein coding gene
DEGS1,current symbol,MGI:1097711,Degs1,"delta(4)-desaturase, sphingolipid 1",protein coding gene
DEGS2,current symbol,MGI:1917309,Degs2,"delta(4)-desaturase, sphingolipid 2",protein coding gene
DENND1B,current symbol,MGI:2447812,Dennd1b,DENN/MADD domain containing 1B,protein coding gene
DGAT2,current symbol,MGI:1915050,Dgat2,diacylglycerol O-acyltransferase 2,protein coding gene
DGCR2,current symbol,MGI:892866,Dgcr2,DiGeorge syndrome critical region gene 2,protein coding gene
HRH2,synonym,MGI:1099786,Dhx15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,protein coding gene
HRH1,human synonym,MGI:1918973,Dhx34,DEAH (Asp-Glu-Ala-His) box polypeptide 34,protein coding gene
HRH1,human synonym,MGI:1306823,Dhx8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,protein coding gene
DIRC2,current symbol,MGI:2387188,Dirc2,disrupted in renal carcinoma 2 (human),protein coding gene
DISP1,current symbol,MGI:1916147,Disp1,dispatched RND transporter family member 1,protein coding gene
DISP2,current symbol,MGI:2388733,Disp2,dispatched RND tramsporter family member 2,protein coding gene
DLK1,current symbol,MGI:94900,Dlk1,delta-like 1 homolog (Drosophila),protein coding gene
DLK2,current symbol,MGI:2146838,Dlk2,delta-like 2 homolog (Drosophila),protein coding gene
DLL1,current symbol,MGI:104659,Dll1,delta-like 1 (Drosophila),protein coding gene
DLL4,current symbol,MGI:1859388,Dll4,delta-like 4 (Drosophila),protein coding gene
CUZD1,chicken symbol,MGI:106210,Dmbt1,deleted in malignant brain tumors 1,protein coding gene
DNAJB12,current symbol,MGI:1931881,Dnajb12,DnaJ heat shock protein family (Hsp40) member B12,protein coding gene
DNAJC14,current symbol,MGI:1921580,Dnajc14,DnaJ heat shock protein family (Hsp40) member C14,protein coding gene
DNAJC15,current symbol,MGI:1913398,Dnajc15,DnaJ heat shock protein family (Hsp40) member C15,protein coding gene
DNAJC22,current symbol,MGI:1920028,Dnajc22,DnaJ heat shock protein family (Hsp40) member C22,protein coding gene
DNAJC25,current symbol,MGI:1919679,Dnajc25,DnaJ heat shock protein family (Hsp40) member C25,protein coding gene
DNAJC30,current symbol,MGI:1913364,Dnajc30,DnaJ heat shock protein family (Hsp40) member C30,protein coding gene
DNAJC4,current symbol,MGI:1927346,Dnajc4,DnaJ heat shock protein family (Hsp40) member C4,protein coding gene
DNAJC5,current symbol,MGI:892995,Dnajc5,DnaJ heat shock protein family (Hsp40) member C5,protein coding gene
DNER,current symbol,MGI:2152889,Dner,delta/notch-like EGF repeat containing,protein coding gene
DOLK,current symbol,MGI:2677836,Dolk,dolichol kinase,protein coding gene
DPCR1,current symbol,MGI:2685476,Dpcr1,diffuse panbronchiolitis critical region 1 (human),protein coding gene
DPP10,current symbol,MGI:2442409,Dpp10,dipeptidylpeptidase 10,protein coding gene
DPP6,current symbol,MGI:94921,Dpp6,dipeptidylpeptidase 6,protein coding gene
DPP8,current symbol,MGI:1921638,Dpp8,dipeptidylpeptidase 8,protein coding gene
DPY19L2,current symbol,MGI:2444662,Dpy19l2,dpy-19-like 2 (C. elegans),protein coding gene
DPY19L3,current symbol,MGI:2443952,Dpy19l3,dpy-19-like 3 (C. elegans),protein coding gene
DPY19L4,current symbol,MGI:2685869,Dpy19l4,dpy-19-like 4 (C. elegans),protein coding gene
DRAM,human synonym,MGI:1918962,Dram1,DNA-damage regulated autophagy modulator 1,protein coding gene
TMEM77,old symbol,MGI:1914421,Dram2,DNA-damage regulated autophagy modulator 2,protein coding gene
DRD1,current symbol,MGI:99578,Drd1,dopamine receptor D1,protein coding gene
DRD2,current symbol,MGI:94924,Drd2,dopamine receptor D2,protein coding gene
DRD3,current symbol,MGI:94925,Drd3,dopamine receptor D3,protein coding gene
DRD4,current symbol,MGI:94926,Drd4,dopamine receptor D4,protein coding gene
DRD5,current symbol,MGI:94927,Drd5,dopamine receptor D5,protein coding gene
DSC1,current symbol,MGI:109173,Dsc1,desmocollin 1,protein coding gene
DSC1,chicken symbol,MGI:103221,Dsc2,desmocollin 2,protein coding gene
DSC1,human synonym,MGI:1194993,Dsc3,desmocollin 3,protein coding gene
DSCAM,current symbol,MGI:1196281,Dscam,Down syndrome cell adhesion molecule,protein coding gene
DSCAML1,current symbol,MGI:2150309,Dscaml1,Down syndrome cell adhesion molecule like 1,protein coding gene
DSEL,current symbol,MGI:2442948,Dsel,dermatan sulfate epimerase-like,protein coding gene
DUOX1,current symbol,MGI:2139422,Duox1,dual oxidase 1,protein coding gene
DUOX2,current symbol,MGI:3036280,Duox2,dual oxidase 2,protein coding gene
DUOXA1,current symbol,MGI:2384861,Duoxa1,dual oxidase maturation factor 1,protein coding gene
DUOX2,zebrafish symbol,MGI:1914061,Duoxa2,dual oxidase maturation factor 2,protein coding gene
C18orf26,human synonym,MGI:1922827,Dynap,dynactin associated protein,protein coding gene
DYSF,current symbol,MGI:1349385,Dysf,dysferlin,protein coding gene
RHO,synonym,MGI:95265,Ea2,erythrocyte antigen 2,heritable phenotypic marker
EBP,current symbol,MGI:107822,Ebp,phenylalkylamine Ca2+ antagonist (emopamil) binding protein,protein coding gene
ECE1,current symbol,MGI:1101357,Ece1,endothelin converting enzyme 1,protein coding gene
ECE2,current symbol,MGI:1101356,Ece2,endothelin converting enzyme 2,protein coding gene
ECEL1,current symbol,MGI:1343461,Ecel1,endothelin converting enzyme-like 1,protein coding gene
EDA,current symbol,MGI:1195272,Eda,ectodysplasin-A,protein coding gene
EDA2R,current symbol,MGI:2442860,Eda2r,ectodysplasin A2 receptor,protein coding gene
EDAR,current symbol,MGI:1343498,Edar,ectodysplasin-A receptor,protein coding gene
EDNRA,current symbol,MGI:105923,Ednra,endothelin receptor type A,protein coding gene
EDNRA,rat synonym,MGI:102720,Ednrb,endothelin receptor type B,protein coding gene
EFNB1,current symbol,MGI:102708,Efnb1,ephrin B1,protein coding gene
EFNB2,current symbol,MGI:105097,Efnb2,ephrin B2,protein coding gene
EFNB3,current symbol,MGI:109196,Efnb3,ephrin B3,protein coding gene
EGF,current symbol,MGI:95290,Egf,epidermal growth factor,protein coding gene
EGFR,current symbol,MGI:95294,Egfr,epidermal growth factor receptor,protein coding gene
EI24,current symbol,MGI:108090,Ei24,etoposide induced 2.4 mRNA,protein coding gene
ELFN2,current symbol,MGI:3608416,Elfn2,"leucine rich repeat and fibronectin type III, extracellular 2",protein coding gene
ELN,current symbol,MGI:95317,Eln,elastin,protein coding gene
ELOVL5,current symbol,MGI:1916051,Elovl5,"ELOVL family member 5, elongation of long chain fatty acids (yeast)",protein coding gene
ELOVL6,current symbol,MGI:2156528,Elovl6,"ELOVL family member 6, elongation of long chain fatty acids (yeast)",protein coding gene
ELOVL7,current symbol,MGI:1921809,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast)",protein coding gene
EMB,current symbol,MGI:95321,Emb,embigin,protein coding gene
C19orf63,human synonym,MGI:1916933,Emc10,ER membrane protein complex subunit 10,protein coding gene
TMEM111,old symbol,MGI:1913337,Emc3,ER membrane protein complex subunit 3,protein coding gene
TMEM85,old symbol,MGI:1915282,Emc4,ER membrane protein complex subunit 4,protein coding gene
TMEM93,old symbol,MGI:1913298,Emc6,ER membrane protein complex subunit 6,protein coding gene
C15orf24,human synonym,MGI:1920274,Emc7,ER membrane protein complex subunit 7,protein coding gene
EMCN,current symbol,MGI:1891716,Emcn,endomucin,protein coding gene
EML2,"frog, western clawed symbol",MGI:1915769,Eml1,echinoderm microtubule associated protein like 1,protein coding gene
EML2,current symbol,MGI:1919455,Eml2,echinoderm microtubule associated protein like 2,protein coding gene
EMP1,current symbol,MGI:107941,Emp1,epithelial membrane protein 1,protein coding gene
EMP2,current symbol,MGI:1098726,Emp2,epithelial membrane protein 2,protein coding gene
EMP3,current symbol,MGI:1098729,Emp3,epithelial membrane protein 3,protein coding gene
ENG,current symbol,MGI:95392,Eng,endoglin,protein coding gene
ENPP4,current symbol,MGI:2682634,Enpp4,ectonucleotide pyrophosphatase/phosphodiesterase 4,protein coding gene
ENPP5,current symbol,MGI:1933830,Enpp5,ectonucleotide pyrophosphatase/phosphodiesterase 5,protein coding gene
CACNA1I,human synonym,MGI:2686088,Enthd1,ENTH domain containing 1,protein coding gene
ENTPD1,current symbol,MGI:102805,Entpd1,ectonucleoside triphosphate diphosphohydrolase 1,protein coding gene
ENTPD2,current symbol,MGI:1096863,Entpd2,ectonucleoside triphosphate diphosphohydrolase 2,protein coding gene
ENTPD3,current symbol,MGI:1321386,Entpd3,ectonucleoside triphosphate diphosphohydrolase 3,protein coding gene
ENTPD7,current symbol,MGI:2135885,Entpd7,ectonucleoside triphosphate diphosphohydrolase 7,protein coding gene
ENTPD8,current symbol,MGI:1919340,Entpd8,ectonucleoside triphosphate diphosphohydrolase 8,protein coding gene
TACSTD1,old symbol,MGI:106653,Epcam,epithelial cell adhesion molecule,protein coding gene
EPGN,current symbol,MGI:1919170,Epgn,epithelial mitogen,protein coding gene
EPHA1,current symbol,MGI:107381,Epha1,Eph receptor A1,protein coding gene
EPHA10,current symbol,MGI:3586824,Epha10,Eph receptor A10,protein coding gene
EPHA2,current symbol,MGI:95278,Epha2,Eph receptor A2,protein coding gene
EPHA3,current symbol,MGI:99612,Epha3,Eph receptor A3,protein coding gene
EPHA4,current symbol,MGI:98277,Epha4,Eph receptor A4,protein coding gene
EPHA5,current symbol,MGI:99654,Epha5,Eph receptor A5,protein coding gene
EPHA7,current symbol,MGI:95276,Epha7,Eph receptor A7,protein coding gene
EPHA8,current symbol,MGI:109378,Epha8,Eph receptor A8,protein coding gene
EPHB1,current symbol,MGI:1096337,Ephb1,Eph receptor B1,protein coding gene
EPHB2,current symbol,MGI:99611,Ephb2,Eph receptor B2,protein coding gene
EPHB3,current symbol,MGI:104770,Ephb3,Eph receptor B3,protein coding gene
EPHB4,current symbol,MGI:104757,Ephb4,Eph receptor B4,protein coding gene
EPHB6,current symbol,MGI:1096338,Ephb6,Eph receptor B6,protein coding gene
EPOR,current symbol,MGI:95408,Epor,erythropoietin receptor,protein coding gene
EPSTI1,current symbol,MGI:1915168,Epsti1,epithelial stromal interaction 1 (breast),protein coding gene
C9orf11,human synonym,MGI:1915003,Eqtn,"equatorin, sperm acrosome associated",protein coding gene
ERBB2,current symbol,MGI:95410,Erbb2,erb-b2 receptor tyrosine kinase 2,protein coding gene
ERBB3,current symbol,MGI:95411,Erbb3,erb-b2 receptor tyrosine kinase 3,protein coding gene
ERBB4,current symbol,MGI:104771,Erbb4,erb-b2 receptor tyrosine kinase 4,protein coding gene
EREG,current symbol,MGI:107508,Ereg,epiregulin,protein coding gene
ERGIC3,current symbol,MGI:1913616,Ergic3,ERGIC and golgi 3,protein coding gene
ERMAP,current symbol,MGI:1349816,Ermap,erythroblast membrane-associated protein,protein coding gene
C6orf70,human synonym,MGI:1917317,Ermard,ER membrane associated RNA degradation,protein coding gene
ERMP1,current symbol,MGI:106250,Ermp1,endoplasmic reticulum metallopeptidase 1,protein coding gene
ESAM,current symbol,MGI:1916774,Esam,endothelial cell-specific adhesion molecule,protein coding gene
FAM62A,old symbol,MGI:1344426,Esyt1,extended synaptotagmin-like protein 1,protein coding gene
FAM62B,old symbol,MGI:1261845,Esyt2,extended synaptotagmin-like protein 2,protein coding gene
FAM62C,old symbol,MGI:1098699,Esyt3,extended synaptotagmin-like protein 3,protein coding gene
ETNK1,current symbol,MGI:1922570,Etnk1,ethanolamine kinase 1,protein coding gene
FAM176A,old symbol,MGI:2385247,Eva1a,eva-1 homolog A (C. elegans),protein coding gene
FAM176B,old symbol,MGI:1922063,Eva1b,eva-1 homolog B (C. elegans),protein coding gene
C21orf63,human synonym,MGI:1918217,Eva1c,eva-1 homolog C (C. elegans),protein coding gene
EVC2,current symbol,MGI:1915775,Evc2,Ellis van Creveld syndrome 2,protein coding gene
EVI2A,current symbol,MGI:95458,Evi2a,ecotropic viral integration site 2a,protein coding gene
EVI2B,current symbol,MGI:1890682,Evi2b,ecotropic viral integration site 2b,protein coding gene
F11R,current symbol,MGI:1321398,F11r,F11 receptor,protein coding gene
F2R,current symbol,MGI:101802,F2r,coagulation factor II (thrombin) receptor,protein coding gene
F2RL1,current symbol,MGI:101910,F2rl1,coagulation factor II (thrombin) receptor-like 1,protein coding gene
F2RL2,current symbol,MGI:1298208,F2rl2,coagulation factor II (thrombin) receptor-like 2,protein coding gene
F2RL3,current symbol,MGI:1298207,F2rl3,coagulation factor II (thrombin) receptor-like 3,protein coding gene
F3,current symbol,MGI:88381,F3,coagulation factor III,protein coding gene
FA2H,current symbol,MGI:2443327,Fa2h,fatty acid 2-hydroxylase,protein coding gene
FADS1,current symbol,MGI:1923517,Fads1,fatty acid desaturase 1,protein coding gene
FADS2,current symbol,MGI:1930079,Fads2,fatty acid desaturase 2,protein coding gene
FADS3,current symbol,MGI:1928740,Fads3,fatty acid desaturase 3,protein coding gene
FADS6,current symbol,MGI:3039592,Fads6,"fatty acid desaturase domain family, member 6",protein coding gene
FAIM2,current symbol,MGI:1919643,Faim2,Fas apoptotic inhibitory molecule 2,protein coding gene
FAM105A,current symbol,MGI:2687281,Fam105a,"family with sequence similarity 105, member A",protein coding gene
FAM134A,current symbol,MGI:2388278,Fam134a,"family with sequence similarity 134, member A",protein coding gene
FAM134B,current symbol,MGI:1913520,Fam134b,"family with sequence similarity 134, member B",protein coding gene
FAM134C,current symbol,MGI:1915248,Fam134c,"family with sequence similarity 134, member C",protein coding gene
FAM159A,current symbol,MGI:3651644,Fam159a,"family with sequence similarity 159, member A",protein coding gene
FAM162A,current symbol,MGI:1917436,Fam162a,"family with sequence similarity 162, member A",protein coding gene
FAM171A1,current symbol,MGI:2442917,Fam171a1,"family with sequence similarity 171, member A1",protein coding gene
FAM173B,current symbol,MGI:1915323,Fam173b,"family with sequence similarity 173, member B",protein coding gene
FAM174A,current symbol,MGI:1914948,Fam174a,"family with sequence similarity 174, member A",protein coding gene
FAM174B,current symbol,MGI:3698178,Fam174b,"family with sequence similarity 174, member B",protein coding gene
TMEM162,old symbol,MGI:1923665,Fam187b,"family with sequence similarity 187, member B",protein coding gene
C9orf61,human synonym,MGI:2685813,Fam189a2,"family with sequence similarity 189, member A2",protein coding gene
C1orf2,human synonym,MGI:1915771,Fam189b,"family with sequence similarity 189, member B",protein coding gene
C20orf106,human synonym,MGI:1923676,Fam209,family with sequence similarity 209,protein coding gene
C18orf19,human synonym,MGI:1914000,Fam210a,"family with sequence similarity 210, member A",protein coding gene
C20orf108,human synonym,MGI:1914267,Fam210b,"family with sequence similarity 210, member B",protein coding gene
KIAA1467,human synonym,MGI:1921775,Fam234b,"family with sequence similarity 234, member B",protein coding gene
FAM26E,current symbol,MGI:2143897,Fam26e,"family with sequence similarity 26, member E",protein coding gene
FAM26F,current symbol,MGI:2443082,Fam26f,"family with sequence similarity 26, member F",protein coding gene
FAM57A,current symbol,MGI:2151840,Fam57a,"family with sequence similarity 57, member A",protein coding gene
FAM57B,current symbol,MGI:1916202,Fam57b,"family with sequence similarity 57, member B",protein coding gene
FAM8A1,current symbol,MGI:2145496,Fam8a1,"family with sequence similarity 8, member A1",protein coding gene
FANCM,current symbol,MGI:2442306,Fancm,"Fanconi anemia, complementation group M",protein coding gene
FAR1,current symbol,MGI:1914670,Far1,fatty acyl CoA reductase 1,protein coding gene
FAR2,current symbol,MGI:2687035,Far2,fatty acyl CoA reductase 2,protein coding gene
FASLG,human symbol,MGI:99255,Fasl,"Fas ligand (TNF superfamily, member 6)",protein coding gene
FAT,human synonym,MGI:109168,Fat1,FAT atypical cadherin 1,protein coding gene
FAT2,current symbol,MGI:2685369,Fat2,FAT atypical cadherin 2,protein coding gene
FAT4,current symbol,MGI:3045256,Fat4,FAT atypical cadherin 4,protein coding gene
FATE1,current symbol,MGI:1925155,Fate1,fetal and adult testis expressed 1,protein coding gene
RNFT2,dog symbol,MGI:1923041,Fbxw8,F-box and WD-40 domain protein 8,protein coding gene
FCER1A,current symbol,MGI:95494,Fcer1a,"Fc receptor, IgE, high affinity I, alpha polypeptide",protein coding gene
FCGR1A,human symbol,MGI:95498,Fcgr1,"Fc receptor, IgG, high affinity I",protein coding gene
FCGR2A,old symbol,MGI:95499,Fcgr2b,"Fc receptor, IgG, low affinity IIb",protein coding gene
FCGR2A,human symbol,MGI:95500,Fcgr3,"Fc receptor, IgG, low affinity III",protein coding gene
FCGR3A,old symbol,MGI:2179523,Fcgr4,"Fc receptor, IgG, low affinity IV",protein coding gene
FCGRT,current symbol,MGI:103017,Fcgrt,"Fc receptor, IgG, alpha chain transporter",protein coding gene
FAIM3,old symbol,MGI:1916419,Fcmr,Fc fragment of IgM receptor,protein coding gene
FCRL1,current symbol,MGI:2442862,Fcrl1,Fc receptor-like 1,protein coding gene
FCRL3,rat symbol,MGI:3053558,Fcrl5,Fc receptor-like 5,protein coding gene
FCRL6,current symbol,MGI:3618339,Fcrl6,Fc receptor-like 6,protein coding gene
FCRL1,synonym,MGI:2138647,Fcrla,Fc receptor-like A,protein coding gene
FCRL2,synonym,MGI:3576487,Fcrlb,Fc receptor-like B,protein coding gene
FCRL2,rat symbol,MGI:1933397,Fcrls,"Fc receptor-like S, scavenger receptor",protein coding gene
FER1L5,current symbol,MGI:3616091,Fer1l5,fer-1-like 5 (C. elegans),protein coding gene
FER1L6,current symbol,MGI:3645398,Fer1l6,fer-1-like 6 (C. elegans),protein coding gene
FFAR1,current symbol,MGI:2684079,Ffar1,free fatty acid receptor 1,protein coding gene
FFAR2,current symbol,MGI:2441731,Ffar2,free fatty acid receptor 2,protein coding gene
FFAR3,current symbol,MGI:2685324,Ffar3,free fatty acid receptor 3,protein coding gene
GPR120,old symbol,MGI:2147577,Ffar4,free fatty acid receptor 4,protein coding gene
